location_id,formattedAddress,addressLine1,addressLine2,county,zipCode,city,state,latitude,longitude
126,"2522 w highland ave, phoenix, az 85017",2522 W Highland Ave,Unknown,Maricopa County,85017,Phoenix,AZ,33.50615,-112.1141
127,"2540 w maryland ave, phoenix, az 85017",2540 W Maryland Ave,Unknown,Maricopa,85017,Phoenix,AZ,33.53161,-112.1149
128,"4304 e campbell ave, phoenix, az 85018",4304 E Campbell Ave,Unknown,Maricopa,85018,Phoenix,AZ,33.50278,-111.98843
129,"222 e mcdowell rd, phoenix, az 85004",222 E Mcdowell Rd,Unknown,Maricopa,85004,Phoenix,AZ,33.46625,-112.07136
130,"1517 e colter st, phoenix, az 85014",1517 E Colter St,Unknown,Maricopa,85014,Phoenix,AZ,33.51259,-112.04959
131,"840 w tonto st, phoenix, az 85007",840 W Tonto St,Unknown,Maricopa,85007,Phoenix,AZ,33.43886,-112.084175
132,"4001 w camelback rd, phoenix, az 85019",4001 W Camelback Rd,Unknown,Maricopa,85019,Phoenix,AZ,33.509022,-112.144829
133,"3613-3644 n 5th ave, phoenix, az 85013",3613-3644 N 5th Ave,Unknown,Maricopa County,85013,Phoenix,AZ,33.48984,-112.08021
134,"5343 e taylor st, phoenix, az 85008",5343 E Taylor St,Unknown,Maricopa County,85008,Phoenix,AZ,33.452923,-111.96568
135,"3708 w northern ave, phoenix, az 85051",3708 W Northern Ave,Unknown,Maricopa County,85051,Phoenix,AZ,33.553594,-112.139283
136,"1505 n central ave, phoenix, az 85004",1505 N Central Ave,Unknown,Maricopa,85004,Phoenix,AZ,33.464245,-112.072906
137,"2928 e osborn rd, phoenix, az 85016",2928 E Osborn Rd,Unknown,Maricopa,85016,Phoenix,AZ,33.487802,-112.01883
138,"5010 e cheyenne dr, phoenix, az 85044",5010 E Cheyenne Dr,Unknown,Maricopa,85044,Phoenix,AZ,33.34592,-111.97743
139,"44 w monroe st, phoenix, az 85003",44 W Monroe St,Unknown,Maricopa,85003,Phoenix,AZ,33.45068,-112.07473
140,"6161 w mcdowell rd, phoenix, az 85035",6161 W Mcdowell Rd,Unknown,Maricopa,85035,Phoenix,AZ,33.464997,-112.190858
141,"2015 w cactus rd, phoenix, az 85029",2015 W Cactus Rd,Unknown,Maricopa,85029,Phoenix,AZ,33.59551,-112.10255
142,"3001 n 32nd st, phoenix, az 85018",3001 N 32nd St,Unknown,Maricopa,85018,Phoenix,AZ,33.48284,-112.01249
143,"15425 n tatum blvd, phoenix, az 85032",15425 N Tatum Blvd,Unknown,Maricopa,85032,Phoenix,AZ,33.62664,-111.97612
144,"3851 n 28th st, phoenix, az 85016",3851 N 28th St,Unknown,Maricopa,85016,Phoenix,AZ,33.493504,-112.020142
145,"600 n 4th st, phoenix, az 85004",600 N 4th St,Unknown,Maricopa,85004,Phoenix,AZ,33.455036,-112.069174
146,"3633 n 6th ave, phoenix, az 85013",3633 N 6th Ave,Unknown,Maricopa,85013,Phoenix,AZ,33.49028,-112.08161
147,"3411 n 16th st, phoenix, az 85016",3411 N 16th St,Unknown,Maricopa County,85016,Phoenix,AZ,33.488175,-112.045382
148,"9652 n 31st ave, phoenix, az 85051",9652 N 31st Ave,Unknown,Maricopa,85051,Phoenix,AZ,33.573837,-112.126943
149,"7725 w mcdowell rd, phoenix, az 85035",7725 W Mcdowell Rd,Unknown,Maricopa,85035,Phoenix,AZ,33.46522,-112.22706
150,"8331 sw 96th pl, miami, fl 33173",8331 Sw 96th Pl,Unknown,Miami-Dade,33173,Miami,FL,25.691312,-80.349107
151,"3500 coral way, miami, fl 33145",3500 Coral Way,Unknown,Miami-Dade,33145,Miami,FL,25.749473,-80.250598
152,"729 nw 2nd st, miami, fl 33128",729 Nw 2nd St,Unknown,Miami-Dade,33128,Miami,FL,25.7762,-80.20705
153,"435 ne 23rd st, miami, fl 33137",435 Ne 23rd St,Unknown,Miami-Dade,33137,Miami,FL,25.799323,-80.187226
154,"15601 sw 137th ave, apt 224, miami, fl 33177",15601 Sw 137th Ave,Apt 224,Miami-Dade,33177,Miami,FL,25.622054,-80.414445
155,"851 ne 1st ave, unit 3106, miami, fl 33132",851 Ne 1st Ave,Unit 3106,Miami-Dade,33132,Miami,FL,25.782889,-80.191906
156,"57 nw 69th st, miami, fl 33150",57 Nw 69th St,Unknown,Miami-Dade,33150,Miami,FL,25.83844,-80.197784
157,"851 ne 1st ave, unit 511, miami, fl 33132",851 Ne 1st Ave,Unit 511,Miami-Dade,33132,Miami,FL,25.782889,-80.191906
158,"13800 ne 6th ave, north, miami, fl 33161",13800 Ne 6th Ave,North,Miami-Dade,33161,Miami,FL,25.90244,-80.18745
159,"14148 sw 93rd ln, unit 14148, miami, fl 33186",14148 Sw 93rd Ln,Unit 14148,Miami-Dade,33186,Miami,FL,25.681053,-80.419631
160,"9051 sw 122nd ave, miami, fl 33186",9051 Sw 122nd Ave,Unknown,Miami-Dade,33186,Miami,FL,25.68295,-80.3908
161,"8818 sw 72nd st, miami, fl 33173",8818 Sw 72nd St,Unknown,Miami-Dade County,33173,Miami,FL,25.70124,-80.33694
162,"50 sw 10th st, miami, fl 33130",50 Sw 10th St,Unknown,Miami-Dade,33130,Miami,FL,25.76395,-80.19387
163,"9117 sw 72nd ave, miami, fl 33156",9117 Sw 72nd Ave,Unknown,Miami-Dade County,33156,Miami,FL,25.68613,-80.309841
164,"8961-9041 sw 142nd ave, miami, fl 33186",8961-9041 Sw 142nd Ave,Unknown,Miami-Dade County,33186,Miami,FL,25.68428,-80.42268
165,"9300 sw 137th ave, miami, fl 33186",9300 Sw 137th Ave,Unknown,Miami-Dade,33186,Miami,FL,25.68107,-80.41742
166,"2201 ludlam rd, miami, fl 33155",2201 Ludlam Rd,Unknown,Miami-Dade County,33155,Miami,FL,25.74956,-80.303418
167,"8855 fontainebleau blvd, miami, fl 33172",8855 Fontainebleau Blvd,Unknown,Miami-Dade,33172,Miami,FL,25.7732,-80.340149
168,"13865 w dixie hwy, north, miami, fl 33161",13865 W Dixie Hwy,North,Miami-Dade County,33161,Miami,FL,25.90202,-80.17576
169,"8215 sw 72nd ave, miami, fl 33143",8215 Sw 72nd Ave,Unknown,Miami-Dade,33143,Miami,FL,25.693701,-80.30854
170,"340 w flagler st, miami, fl 33130",340 W Flagler St,Unknown,Miami-Dade,33130,Miami,FL,25.773568,-80.199961
171,"6880-6920 sw 44th st, miami, fl 33155",6880-6920 Sw 44th St,Unknown,Miami-Dade County,33155,Miami,FL,25.72908,-80.3053
172,"455 ne 24th st, miami, fl 33137",455 Ne 24th St,Unknown,Miami-Dade,33137,Miami,FL,25.800440000000002,-80.18698
173,"6259 sunset dr, south, miami, fl 33143",6259 Sunset Dr,South,Miami-Dade County,33143,Miami,FL,25.70443,-80.294668
174,"11020 sw 196th st, miami, fl 33157",11020 Sw 196th St,Unknown,Miami-Dade County,33157,Miami,FL,25.583963,-80.369557
175,"777 nw 155th ln, miami, fl 33169",777 Nw 155th Ln,Unknown,Miami-Dade County,33169,Miami,FL,25.9178,-80.21404
176,"9601 sw 142nd ave, miami, fl 33186",9601 Sw 142nd Ave,Unknown,Miami-Dade County,33186,Miami,FL,25.676114,-80.419706
177,"230 ne 4th st, miami, fl 33132",230 Ne 4th St,Unknown,Miami-Dade,33132,Miami,FL,25.777841,-80.189716
178,"58 ne 14th st, miami, fl 33132",58 Ne 14th St,Unknown,Miami-Dade County,33132,Miami,FL,25.787947,-80.192885
179,"8337 sw 107th ave, miami, fl 33173",8337 Sw 107th Ave,Unknown,Miami-Dade,33173,Miami,FL,25.69122,-80.36561
180,"1111 brickell bay dr, miami, fl 33131",1111 Brickell Bay Dr,Unknown,Miami-Dade,33131,Miami,FL,25.762968,-80.189136
181,"86 sw 8th st, miami, fl 33130",86 Sw 8th St,Unknown,Miami-Dade,33130,Miami,FL,25.766085,-80.194466
182,"760 ne 85th st, miami, fl 33138",760 Ne 85th St,Unknown,Miami-Dade,33138,Miami,FL,25.853339,-80.181544
183,"2660 sw 37th ave, miami, fl 33133",2660 Sw 37th Ave,Unknown,Miami-Dade County,33133,Miami,FL,25.74173,-80.254628
184,"5375 nw 7th st, miami, fl 33126",5375 Nw 7th St,Unknown,Miami-Dade,33126,Miami,FL,25.778509,-80.283279
185,"11325 nw 7th st, miami, fl 33172",11325 Nw 7th St,Unknown,Miami-Dade,33172,Miami,FL,25.77572,-80.37695
186,"6001 sw 70th st, south, miami, fl 33143",6001 Sw 70th St,South,Miami-Dade,33143,Miami,FL,25.70649,-80.29128
187,"125 ne 32nd st, miami, fl 33137",125 Ne 32nd St,Unknown,Miami-Dade,33137,Miami,FL,25.807001,-80.19249
188,"9357 sw 77th ave, miami, fl 33156",9357 Sw 77th Ave,Unknown,Miami-Dade,33156,Miami,FL,25.68401,-80.31825
189,"2321 laguna cir, north, miami, fl 33181",2321 Laguna Cir,North,Miami-Dade,33181,Miami,FL,25.912964,-80.152579
190,"580 ne 127th st, north, miami, fl 33161",580 Ne 127th St,North,Miami-Dade,33161,Miami,FL,25.891699,-80.187209
191,"235 nw 14th ter, miami, fl 33136",235 Nw 14th Ter,Unknown,Miami-Dade,33136,Miami,FL,25.788814,-80.199495
192,"7440 n kendall dr, miami, fl 33156",7440 N Kendall Dr,Unknown,Miami-Dade,33156,Miami,FL,25.687704,-80.31563
193,"3000 sw 3rd ave, miami, fl 33129",3000 Sw 3rd Ave,Unknown,Miami-Dade,33129,Miami,FL,25.752996,-80.212311
194,"6620 sw 57th ave, miami, fl 33143",6620 Sw 57th Ave,Unknown,Miami-Dade County,33143,Miami,FL,25.70902,-80.28599
195,"10571 sw 156th pl, miami, fl 33196",10571 Sw 156th Pl,Unknown,Miami-Dade,33196,Miami,FL,25.66769,-80.44803
196,"8940 nw 8th st, miami, fl 33172",8940 Nw 8th St,Unknown,Miami-Dade,33172,Miami,FL,25.77947,-80.34076
197,"12375 sw 18th st, miami, fl 33175",12375 Sw 18th St,Unknown,Miami-Dade,33175,Miami,FL,25.753339,-80.395481
198,"3967 ne 168th st, miami, fl 33160",3967 Ne 168th St,Unknown,Miami-Dade County,33160,Miami,FL,25.935085,-80.131993
199,"13150 memorial hwy, north, miami, fl 33161",13150 Memorial Hwy,North,Miami-Dade,33161,Miami,FL,25.896132,-80.194298
